K;Ca;Mg;M.O.;MO1;MOC;MOD;logK;MOD1
0.36;3.91;1.01;20.58;2.06;alta;1;-1.021651208;0
0.3;4.79;0.83;21.71;2.17;alta;1;-1.203972765;0
0.34;3.69;0.88;16.6;1.66;Baja;0;-1.078809651;1
0.22;5.22;0.51;11.32;1.13;Baja;0;-1.514127738;1
0.44;6.01;0.87;18.23;1.82;Baja;0;-0.820980557;1
0.4;6.14;0.79;18.78;1.88;Baja;0;-0.916290717;1
0.3;2.9;0.58;17.14;1.71;Baja;0;-1.203972765;1
0.29;3.91;0.63;18.64;1.86;Baja;0;-1.237874385;1
0.26;2.9;0.56;14.99;1.5;Baja;0;-1.347073685;1
0.26;3.54;0.65;17.14;1.71;Baja;0;-1.347073685;1
0.28;3.41;0.74;16.73;1.67;Baja;0;-1.272965672;1
0.28;3.69;0.86;16.73;1.67;Baja;0;-1.272965672;1
0.3;3.9;0.79;20.72;2.07;alta;1;-1.203972765;0
0.27;4.51;0.8;21.99;2.2;alta;1;-1.30933328;0
0.35;3.61;0.66;20.58;2.06;alta;1;-1.049822142;0
0.76;5.74;0.65;13.4;1.34;Baja;0;-0.274436858;1
0.3;4.14;0.99;13.4;1.34;Baja;0;-1.203972765;1
0.35;3.94;0.69;19.61;1.96;Baja;0;-1.049822142;1
0.39;4.25;0.71;18.92;1.89;Baja;0;-0.941608577;1
0.27;6.07;0.53;20.86;2.09;alta;1;-1.30933328;0
0.22;4.21;0.67;20.31;2.03;alta;1;-1.514127738;0
0.34;4.9;0.81;26.9;2.69;alta;1;-1.078809651;0
0.19;3.4;0.53;20.58;2.06;alta;1;-1.660731219;0
0.28;4.51;0.44;20.17;2.02;alta;1;-1.272965672;0
0.26;3.7;0.57;17.41;1.74;Baja;0;-1.347073685;1
0.31;4.69;0.56;18.92;1.89;Baja;0;-1.171182974;1
0.04;4.79;0.94;24.13;2.41;alta;1;-3.218875847;0
0.23;3.61;0.6;14.72;1.47;Baja;0;-1.469675952;1
0.21;3.41;0.57;15.93;1.59;Baja;0;-1.560647779;1
0.19;2.16;0.73;17.01;1.7;Baja;0;-1.660731219;1
0.13;1.6;0.8;15.93;1.59;Baja;0;-2.040220865;1
0.16;3.06;1.5;26.02;2.6;alta;1;-1.832581486;0
0.2;3.33;0.97;25;2.5;alta;1;-1.609437898;0
0.14;3;0.79;16.2;1.62;Baja;0;-1.966112852;1
0.11;2.47;0.82;12.62;1.26;Baja;0;-2.207274919;1
0.15;2.46;1.43;14.99;1.5;Baja;0;-1.897119945;1
0.2;3.77;0.71;29.13;2.91;alta;1;-1.609437898;0
0.15;2.12;0.72;21.14;2.11;alta;1;-1.897119945;0
0.24;3.35;0.76;16.6;1.66;Baja;0;-1.427116378;1
